username,language
User:Olivier LPB,"['fr-5', 'en-2']"
User:Gamesmasterg9,"['en-5', 'hi-4', 'bn-3', 'mr-1']"
User:Dvermeirre,"['fr-5', 'en-5', 'de-1']"
User:Jklamo,"['en-3', 'cs-5', 'sk-5', 'fr-1']"
User:Calliopejen1,"['en-5', 'es-3', 'fr-1']"
User:Jpbrenna,"['en-5', 'el-2', 'la-2', 'es-2', 'ar-1']"
User:WarKosign,"['en-3', 'he-4', 'ru-5']"
User:Appaches,"['fr-5', 'en-3']"
User:IYY,"['en-5', 'he-3', 'ru-3']"
User:AlejandroGallego,"['es-5', 'en-4', 'de-2', 'fr-2', 'pt-1']"
User:Fredericknoronha,"['en-4', 'gom-2', 'hi-2', 'mr-1', 'pt-1', 'fr-0', 'de-0']"
User:Keilana,"['en-5', 'fr-4', 'ko-1', 'ar-2', 'es-3']"
User:Powermelon,"['lt-5', 'en-3']"
User:Antimuonium,"['fr-5', 'en-3', 'es-1']"
User:Volmar,['de-5']
User:Kurousagi,"['ko-5', 'en-4']"
User:Packare,['en-3']
User:Ziko,"['de-5', 'eo-4', 'nl-3', 'en-3', 'fr-1', 'la-1']"
User:Pensées de Pascal,"['fr-5', 'en-4', 'nl-3', 'de-2', 'es-1', 'sk-1', 'la-1']"
User:Mrtony77,"['en-5', 'es-5']"
User:ProtoplasmaKid,"['es-5', 'en-3', 'pt-2']"
User:Gael13011,['fr-5']
User:CoroneldelNorte,"['es-5', 'en-3', 'fr-1']"
User:Дмитрий Кошелев,"['ru-5', 'en-2', 'fr-1', 'la-1']"
User:Wfplb,"['en-2', 'fr-5']"
User:Roriromrack,"['ko-5', 'de-4', 'en-4', 'fr-2', 'es-2', 'zh-2', 'ja-1', 'pt-1']"
User:AhmedPS,"['ar-5', 'en-3', 'de-1']"
User:Oleg Bor,['ru-5']
User:Thue,"['da-5', 'en-3', 'de-1', 'no-1', 'sv-1']"
User:Zeorymer,"['en-5', 'pt-2']"
User:Kges1901,"['en-5', 'ru-1']"
User:永続繁栄,['ja-5']
User:Banfield,"['es-5', 'en-3']"
User:Jkadavoor,"['ml-5', 'en-2']"
User:Aeroid,"['de-5', 'en-3', 'nds-1']"
User:Miya,"['ja-5', 'en-2']"
User:Kozam,"['fr-5', 'en-3']"
User:Liridon,"['sq-5', 'en-4', 'mk-3']"
User:Sorenhk,['da-5']
User:Greenman,"['en-5', 'af-3', 'nl-2', 'fr-1', 'es-1', 'xh-1']"
User:Guy of india,['ta-5']
User:Pcgomes,"['pt-5', 'en-4', 'es-3', 'sv-2']"
User:MShefa,"['fa-2', 'es-4']"
User:Koavf,"['en-5', 'es-2', 'de-1', 'pt-1']"
User:Kronhjorten,"['en-5', 'sv-4', 'es-3', 'fr-2', 'de-1']"
User:AragonChristopherR17Z,"['en-5', 'es-3']"
User:OtterAM,['crh-0']
User:Seagull123,"['en-5', 'fr-2', 'de-1']"
User:Elninopanza,['it-5']
User:Fundriver,"['en-3', 'de-4', 'als-5', 'fr-1']"
User:Marko Sarajevo,"['sr-5', 'en-5', 'es-3', 'mk-2', 'ru-2']"
User:Clonewayx,['cs-5']
User:TASAIRES,['es-5']
User:AMPERIO,"['es-5', 'gl-5', 'en-4', 'fr-3']"
User:Mcrass,"['de-5', 'en-2']"
User:Jean Eti,"['de-5', 'en-3', 'fr-3', 'la-1']"
User:Dig deeper,"['en-5', 'fr-2']"
User:Yasamin77,['en-4']
User:Л.П. Джепко,"['ru-5', 'en-4']"
User:AndrewTheLott,"['en-5', 'nl-4', 'fr-3']"
User:Diego Moya,"['es-5', 'en-3']"
User:Abbedabb,['sv-5']
User:I JethroBT,"['en-5', 'ja-2']"
User:Fjmustak,"['en-5', 'ar-5', 'fr-2', 'es-1', 'he-1']"
User:Timpo,"['en-5', 'es-1']"
User:LeFaune,"['fr-5', 'en-4', 'de-2', 'ca-1', 'es-0']"
User:Bdgzczy,['en-5']
User:Natalie.Desautels,"['fr-5', 'en-5', 'es-3', 'de-1']"
User:Lifeinfluxus,"['en-5', 'ja-5']"
User:丘明利,"['zh-5', 'ms-4', 'id-3', 'en-3', 'eo-2', 'ja-1', 'ta-1', 'th-1', 'af-1', 'ar-1', 'hak-1', 'haw-1']"
User:Guillermo2149,"['es-5', 'gn-5', 'en-5', 'pt-4', 'it-2', 'zh-1']"
User:Gamaliel,"['en-5', 'es-2']"
User:XPanettaa,"['nl-5', 'en-5', 'de-1', 'fr-1']"
User:Fujiiy,['es-5']
User:Seav,"['en-5', 'tl-5']"
User:Froggywam,['en-5']
User:Gerardo Noriega,"['es-5', 'en-3', 'fr-2', 'it-2']"
User:Pmaccabe,['en-5']
User:MartinPoulter,['en-5']
User:Randeerjayasekara,['si-5']
User:0xF8E8,['en-5']
User:FactualCollector7d1,"['en-5', 'fr-1']"
User:Davidbuddy9,['en-5']
User:FuhrstSgt,['sr-5']
User:Zak-mieleur,"['ar-5', 'ary-5', 'arz-2', 'en-3', 'fr-5', 'es-1']"
User:Sjomadhr,"['fi-5', 'sv-5', 'en-4', 'de-2']"
User:MartinZ,['en-4']
User:Omert33,"['en-5', 'he-5', 'fr-3', 'es-1', 'it-1']"
User:IBayern,"['zh-5', 'en-3', 'zh-classical-2', 'sco-2', 'de-1', 'ja-1', 'es-0', 'fr-0', 'ko-0', 'ru-0', 'pl-0']"
User:Simartampua,"['id-5', 'en-2', 'ms-2']"
User:Cqui,['fr-5']
User:Phokhamvone,"['fr-5', 'th-3', 'en-2', 'de-1']"
User:The Stray Dog,"['fa-5', 'mzn-4', 'tg-4', 'en-4', 'glk-4', 'ku-1', 'he-3', 'arz-1']"
User:Fluffernutter,"['es-2', 'it-1']"
User:Miyika,"['ar-2', 'ja-3']"
User:ツバル,"['ja-5', 'en-1']"
User:Kashmiri,['en-4']
User:Zsoozsy,"['hu-5', 'en-4', 'he-3', 'fr-3']"
User:Alexgrim,"['fr-5', 'en-4', 'es-2', 'ht-3']"
User:TadejM,"['sl-5', 'en-4', 'fr-3', 'de-3', 'it-1']"
User:Christoffre,['sv-5']
User:Rlandmann,"['en-5', 'it-1', 'fr-1']"
User:Shyamal,['en-5']
User:Nsaa,"['no-5', 'en-2', 'da-2', 'sv-1', 'de-1']"
User:Aboluay,"['en-3', 'ar-2']"
User:Greyshark09,"['en-4', 'ar-3']"
User:Sturm,"['pt-5', 'en-2', 'it-1', 'es-1']"
User:Mr. Stradivarius,"['en-5', 'ja-4']"
User:Rickjpelleg,"['en-5', 'he-5']"
User:TimeForLunch,"['en-5', 'it-3']"
User:Popo le Chien,"['fr-5', 'en-4', 'es-3', 'de-2', 'zh-1', 'it-1']"
User:David Xuang,['en-3']
User:Iranianson,"['en-3', 'fa-5', 'az-2', 'fr-1', 'ar-1']"
User:Keizers,"['en-5', 'nl-4', 'es-4', 'de-3', 'fr-3', 'pt-2', 'ru-2', 'it-2', 'el-1', 'ro-1']"
User:Azael Hernández,"['es-5', 'en-2']"
User:Frank R 1981,['en-4']
User:AlexTref871,"['ru-5', 'en-3']"
User:Mazzz01,"['en-5', 'fr-1']"
User:D. Benjamin Miller,"['en-5', 'fr-3', 'la-2']"
User:United Union,"['en-5', 'de-5', 'hr-5']"
User:Mz7,"['en-5', 'de-2']"
User:Renamed user awfwvowjvwrvnwio,"['pt-5', 'en-5']"
User:Rystheguy,"['en-5', 'fr-2', 'ko-1']"
User:Loiseaulybre,"['fr-5', 'en-3']"
User:Info2Learn,"['en-5', 'es-2']"
User:Ibrahim.ID,"['ar-5', 'en-3', 'fr-1']"
User:OriginalOldMan,"['en-5', 'fr-4', 'ru-1']"
User:FæɹHaad,"['fa-5', 'en-2', 'ar-2']"
User:Ww2censor,"['en-5', 'de-1', 'fr-1']"
User:Sasuke Sarutobi,"['en-5', 'de-2', 'fr-1', 'it-1']"
User:Sekicho,"['en-5', 'ja-3', 'es-1', 'zh-1']"
User:Ce Ele 415,"['es-5', 'ca-5', 'en-3']"
User:Naval Scene,"['id-5', 'min-5', 'en-4', 'ms-3', 'jv-3', 'su-2', 'ace-1']"
User:Uksharma3,['en-3']
User:Lillingen,"['en-3', 'no-5', 'nn-3', 'da-3', 'sv-2', 'de-1']"
User:Tylusine,['en-5']
User:Effeietsanders,"['nl-5', 'en-3']"
User:YanikB,"['fr-5', 'en-3', 'es-2', 'de-1']"
User:Gdominik100,"['pl-5', 'ru-1', 'en-3', 'es-1', 'eo-0', 'ko-0', 'mn-0']"
User:Darylgolden,"['en-5', 'zh-2']"
User:TheRichic,"['es-5', 'en-5']"
User:Nicolas Perrault III,"['fr-5', 'en-4', 'de-3', 'es-3', 'no-2', 'it-1', 'ru-1']"
User:Brackenheim,"['de-5', 'en-1', 'la-1']"
User:Marcetw,"['es-3', 'en-2', 'gn-5']"
User:أنور,"['ar-5', 'en-3']"
User:Sjö,"['sv-5', 'en-4', 'de-1', 'da-2', 'no-2']"
User:Che12Guevara,"['bn-5', 'en-4', 'hi-1']"
User:Heliosxeros,"['en-5', 'zh-5']"
User:Thureinminnoo,"['en-5', 'my-5', 'ja-5']"
User:Andsam,"['fi-5', 'en-4', 'sv-3', 'de-1']"
User:Mr.Liam.Darcy,"['en-5', 'de-3', 'fr-1']"
User:Ranjithsiji,['ml-5']
User:Starnutoditopo,['it-5']
User:Gibbja,"['en-5', 'fr-2']"
User:YuriGagrin12,"['en-5', 'eo-2', 'it-3']"
User:Tomer T,"['he-5', 'en-4']"
User:PaterMcFly,"['de-5', 'en-4', 'fr-2']"
User:Braindot4,"['en-5', 'ar-5', 'fr-2']"
User:Gnoeee,"['ml-5', 'en-2']"
User:Veillg1,['fr-5']
User:12afser12,['ta-5']
User:Nick Rokk 96,"['el-5', 'en-3']"
User:Hylblog,"['en-2', 'zh-4', 'ja-0']"
User:Kaliforniyka,"['en-5', 'bg-3', 'fr-4', 'ru-3']"
User:Gorpik,['es-5']
User:Bdonan,"['en-5', 'de-2']"
User:Superkid761,['en-5']
User:Debashish,"['bn-5', 'hi-3', 'en-3']"
User:Jose Mathew C,"['ml-5', 'ta-1']"
User:Smihael,"['sl-5', 'en-3', 'de-3', 'ru-3']"
User:T8612,"['fr-5', 'en-4']"
User:Hickland,"['en-5', 'fr-3']"
User:Flycatchr,"['en-5', 'fr-5', 'ar-2', 'es-1']"
User:Gunkarta,"['id-5', 'su-5', 'en-3', 'jv-2', 'fr-1', 'ja-1']"
User:MatthewS.,"['arz-5', 'en-5', 'ar-5', 'fr-2', 'de-1', 'he-1', 'eo-1', 'mt-1']"
User:Mcampany,"['en-5', 'ja-4', 'zh-1']"
User:Adam37,['en-5']
User:Shadess,"['fi-5', 'en-4']"
User:Nehme1499,"['it-5', 'es-1', 'ar-1']"
User:Fallbackintoreality,['sq-5']
User:Alain Schneider,['fr-5']
User:Ergo Sum,"['en-5', 'la-3', 'es-2', 'it-1']"
User:Starblind,"['en-5', 'de-3', 'es-1', 'fr-1']"
User:Franz710,"['pam-5', 'tl-5']"
User:Saung Tadashi,"['pt-5', 'en-3', 'ja-1']"
User:Sreejithk2000,"['ml-5', 'en-2']"
User:Dr-Taher,"['ar-5', 'en-4']"
User:Mardetanha,"['fa-5', 'az-5', 'en-3', 'tr-2', 'ar-1']"
User:Cekli829,['az-5']
User:TobbiM,['en-5']
User:PoliceSheep99,['es-2']
User:Amit91803,"['he-5', 'en-4', 'fr-1']"
User:Juxlos,"['id-5', 'en-5']"
User:GregZak,"['ru-5', 'en-3']"
User:Firos ak,"['ml-5', 'en-2']"
User:TJMSmith,"['en-5', 'es-3']"
User:Yasunorihayashi,"['ja-5', 'en-4', 'de-1']"
User:Pep-k,"['it-5', 'en-3', 'fr-2', 'es-1', 'pl-1']"
User:1618033golden,['ii-5']
User:Neworsy,"['es-5', 'de-4', 'fr-3', 'en-3']"
User:Discoglasses,"['en-5', 'fr-3']"
User:Finnusertop,['bar-5']
User:Mattwillmarron,['fr-2']
User:Swarabakti,"['en-3', 'jv-2', 'su-1', 'es-1']"
User:Vargmali,"['sq-5', 'de-2', 'en-3']"
User:Ата,"['uk-5', 'en-3']"
User:Sadenar40000,['fr-5']
User:Tris T7,['th-5']
User:Babelia,"['es-5', 'en-2']"
User:ჯეო,"['ka-5', 'en-3', 'ru-1', 'fr-1']"
User:Asimtanveer,['ur-5']
User:UserNumber,"['bn-5', 'en-5', 'as-4', 'ur-3', 'hi-3', 'ar-2', 'fa-2', 'lo-1']"
User:Onur,"['tr-5', 'en-4']"
User:Rooiratel,['af-5']
User:Sophiajoanne,"['en-3', 'zh-3', 'ko-1']"
User:BokicaK,"['en-3', 'sr-5', 'ru-1', 'hu-1']"
User:Ogat,['en-3']
User:Egil,"['no-5', 'en-3', 'nn-3', 'da-1', 'sv-1', 'de-1']"
User:Braaark,['fr-5']
User:RetroCraft314,"['en-5', 'fr-2']"
User:Monniasza,"['en-3', 'pl-5', 'de-1']"
User:Teseo,"['it-5', 'en-1', 'la-1', 'fr-2']"
User:VulcanSphere,"['nl-3', 'id-5', 'en-4', 'ja-2']"
User:OnBeyondZebrax,['en-5']
User:Mhare,"['bs-5', 'sh-4', 'en-2']"
User:Jorge Stolfi,"['pt-5', 'vec-5', 'en-3', 'es-2', 'it-2', 'fr-1']"
User:Sailoratlantis,['simple-4']
User:Tukulti65,"['it-5', 'en-3']"
User:Akumiszcza,"['pl-5', 'en-3']"
User:Rosguill,"['es-5', 'en-5', 'de-3', 'fr-3', 'it-3', 'yi-3', 'ru-2', 'he-2', 'tr-2', 'ca-2', 'ja-1', 'vi-1', 'ar-1']"
User:Weatherextremes,"['el-5', 'en-5']"
User:Leo hk1123,['en-2']
User:Relic5064,"['zh-5', 'en-2', 'ru-1', 'ja-1']"
User:GhanimSharifi,"['en-5', 'ar-5', 'fr-5', 'fa-3', 'it-3', 'ku-3', 'ckb-3', 'mt-4']"
User:MarioGom,['es-5']
User:Secretaria,"['pt-5', 'en-4']"
User:Piotr Bart,"['pl-5', 'en-3', 'simple-4', 'ru-2']"
User:Varavour,"['en-5', 'fr-2', 'am-1']"
User:Yihyetov,"['en-3', 'ru-5', 'yi-4', 'uk-1', 'he-1']"
User:Verosaurus,['id-5']
User:AtlanteanAstorian,"['en-4', 'pt-5', 'es-1']"
User:Yivan000,"['en-4', 'tl-4', 'ilo-2']"
User:Yair M,['en-3']
User:Bkissin,"['en-5', 'fr-3', 'he-1']"
User:Robertsky,"['en-5', 'zh-3', 'ja-1', 'ko-1']"
User:Hammad,"['ur-5', 'hi-3', 'he-1', 'pnb-4']"
User:Manudouz,"['fr-5', 'en-3']"
User:Peter Isotalo,"['sv-5', 'en-4', 'no-2', 'da-2', 'de-2', 'ru-1', 'nl-1', 'es-1', 'zh-1', 'ja-1']"
User:NaidNdeso,"['id-5', 'jv-5', 'en-3', 'fr-3', 'nl-2']"
User:Llewee,['en-5']
